DVD,HHS,total,totalA,totalB
201152,5,441,16,0
201152,6,973,11,1
201152,7,268,9,0
201152,8,536,9,0
201152,9,380,5,1
201152,10,215,4,0
201201,1,202,0,0
201201,2,269,1,0
201201,3,537,0,0
201201,4,895,16,2
201201,5,537,13,0
201201,6,891,8,1
201201,7,289,4,0
201201,8,619,15,1
201201,9,401,2,2
201201,10,237,2,2
201202,1,214,0,0
201202,2,284,1,0
201202,3,458,0,0
201202,4,777,13,2
201202,5,425,8,0
201202,6,840,15,0
201202,7,266,5,0
201202,8,574,14,0
201202,9,345,5,0
201202,10,241,1,0
201203,1,197,0,0
201203,2,268,3,1
201203,3,481,0,0
201203,4,752,12,0
201203,5,413,14,0
201203,6,789,14,3
201203,7,244,4,0
201203,8,630,22,1
201203,9,356,4,0
201203,10,236,6,0
201204,1,221,1,0
201204,2,252,2,1
201204,3,483,0,0
201204,4,895,28,7
201204,5,457,25,0
201204,6,812,32,4
201204,7,281,11,0
201204,8,701,30,1
201204,9,380,7,1
201204,10,248,2,1
201205,1,126,0,0
201205,2,305,6,6
201205,3,477,1,1
201205,4,844,26,7
201205,5,519,21,0
201205,6,964,50,5
201205,7,322,26,1
201205,8,911,52,2
201205,9,380,15,0
201205,10,226,4,1
201206,1,181,0,0
201206,2,296,4,3
201206,3,480,1,0
201206,4,835,26,3
201206,5,523,35,2
201206,6,971,55,6
201206,7,337,31,0
201206,8,902,72,1
201206,9,433,16,1
201206,10,237,4,2
201207,1,187,0,0
201207,2,274,5,3
201207,3,482,3,2
201207,4,1014,71,5
201207,5,617,50,4
201207,6,1134,105,10
201207,7,356,27,1
201207,8,1028,80,3
201207,9,513,14,2
201207,10,274,8,2
201208,1,161,2,0
201208,2,266,11,3
201208,3,443,8,0
201208,4,1024,79,7
201208,5,651,54,4
201208,6,1252,168,10
201208,7,357,37,0
201208,8,1062,91,0
201208,9,439,33,0
201208,10,316,16,6
201209,1,186,2,1
201209,2,299,6,2
201209,3,409,7,2
201209,4,1149,122,10
201209,5,677,58,11
201209,6,1368,231,13
201209,7,377,36,0
201209,8,1100,122,4
201209,9,491,36,4
201209,10,303,22,3
201210,1,190,6,1
201210,2,223,11,3
201210,3,473,3,2
