"RepWeekDate","RepWeekCode","Season","RSVtest","RSVpos","HHS"
"3/12/2016",1610,1516,3251,155,9
"3/12/2016",1610,1516,1318,167,10
"3/19/2016",1611,1516,830,84,1
"3/19/2016",1611,1516,2512,111,2
"3/19/2016",1611,1516,2529,131,3
"3/19/2016",1611,1516,1310,56,4
"3/19/2016",1611,1516,5877,408,5
"3/19/2016",1611,1516,2809,240,6
"3/19/2016",1611,1516,693,76,7
"3/19/2016",1611,1516,1841,222,8
"3/19/2016",1611,1516,3076,122,9
"3/19/2016",1611,1516,1263,142,10
"3/26/2016",1612,1516,875,72,1
"3/26/2016",1612,1516,2333,101,2
"3/26/2016",1612,1516,2357,103,3
"3/26/2016",1612,1516,1209,67,4
"3/26/2016",1612,1516,4891,264,5
"3/26/2016",1612,1516,2409,166,6
"3/26/2016",1612,1516,638,81,7
"3/26/2016",1612,1516,1693,149,8
"3/26/2016",1612,1516,2748,84,9
"3/26/2016",1612,1516,1157,105,10
"4/2/2016",1613,1516,868,69,1
"4/2/2016",1613,1516,2015,89,2
"4/2/2016",1613,1516,2052,77,3
"4/2/2016",1613,1516,1156,32,4
"4/2/2016",1613,1516,4346,232,5
"4/2/2016",1613,1516,2526,117,6
"4/2/2016",1613,1516,625,36,7
"4/2/2016",1613,1516,1507,121,8
"4/2/2016",1613,1516,2413,64,9
"4/2/2016",1613,1516,1103,95,10
"4/9/2016",1614,1516,753,56,1
"4/9/2016",1614,1516,1769,76,2
"4/9/2016",1614,1516,1493,51,3
"4/9/2016",1614,1516,1100,45,4
"4/9/2016",1614,1516,3992,161,5
"4/9/2016",1614,1516,1795,92,6
"4/9/2016",1614,1516,610,43,7
"4/9/2016",1614,1516,1333,83,8
"4/9/2016",1614,1516,2271,40,9
"4/9/2016",1614,1516,1026,72,10
"4/16/2016",1615,1516,720,38,1
"4/16/2016",1615,1516,1605,46,2
"4/16/2016",1615,1516,1499,37,3
"4/16/2016",1615,1516,1043,25,4
"4/16/2016",1615,1516,3585,148,5
"4/16/2016",1615,1516,1952,73,6
"4/16/2016",1615,1516,616,39,7
"4/16/2016",1615,1516,1161,82,8
