HHS	DVD	age	rcu	pi	flu	allcause	pop	AH1P	AH3	B	RSV
1	201146	2	1	0	0	5	4819760	0	0	0	0.000204696609260872
1	201146	3	53	7	0	167	12755761	0	0	0	0.000204696609260872
1	201146	4	156	19	0	293	6210022	0	0	0	0.000204696609260872
1	201146	5	1274	187	0	1836	4259535	0	0	0	0.000204696609260872
1	201147	1	1	0	0	17	1663498	0	0	0	0.00100488343352171
1	201147	2	1	0	0	5	4818992	0	0	0	0.00100488343352171
1	201147	3	44	6	0	128	12755117	0	0	0	0.00100488343352171
1	201147	4	169	21	0	293	6210889	0	0	0	0.00100488343352171
1	201147	5	1297	172	0	1781	4262802	0	0	0	0.00100488343352171
1	201148	1	2	1	0	13	1663189	0	0	0	0.000780102499314469
1	201148	2	0	0	0	6	4818224	0	0	0	0.000780102499314469
1	201148	3	50	2	0	155	12754474	0	0	0	0.000780102499314469
1	201148	4	193	20	0	329	6211760	0	0	0	0.000780102499314469
1	201148	5	1286	161	0	1810	4266062	0	0	0	0.000780102499314469
1	201149	1	1	0	0	22	1662879	0	0	0	0.000347293711450513
1	201149	2	5	0	0	8	4817457	0	0	0	0.000347293711450513
1	201149	3	58	7	0	147	12753833	0	0	0	0.000347293711450513
1	201149	4	181	19	0	335	6212636	0	0	0	0.000347293711450513
1	201149	5	1251	171	0	1795	4269316	0	0	0	0.000347293711450513
1	201150	1	4	0	0	14	1662570	0	0	0	0.000577311404090921
1	201150	2	2	0	0	5	4816692	0	0	0	0.000577311404090921
1	201150	3	46	4	0	133	12753194	0	0	0	0.000577311404090921
1	201150	4	192	13	0	350	6213517	0	0	0	0.000577311404090921
1	201150	5	1295	180	0	1787	4272564	0	0	0	0.000577311404090921
1	201151	1	4	2	0	14	1662260	0	0	0	0.00221626137812761
1	201151	2	4	1	0	7	4815928	0	0	0	0.00221626137812761
1	201151	3	58	5	0	146	12752556	0	0	0	0.00221626137812761
1	201151	4	222	20	1	383	6214403	0	0	0	0.00221626137812761
1	201151	5	1330	189	0	1865	4275804	0	0	0	0.00221626137812761
1	201152	1	4	0	0	18	1661951	0	0	0	0.0015619167934767
1	201152	2	0	0	0	6	4815165	0	0	0	0.0015619167934767
1	201152	3	55	9	0	150	12751920	0	0	0	0.0015619167934767
1	201152	4	186	19	0	346	6215295	0	0	0	0.0015619167934767
1	201152	5	1342	201	0	1891	4279037	0	0	0	0.0015619167934767
1	201201	1	2	0	0	19	1661641	0	0	0	0.00156645273848838
1	201201	2	2	0	0	6	4814403	0	0	0	0.00156645273848838
1	201201	3	59	6	0	154	12751286	0	0	0	0.00156645273848838
1	201201	4	225	22	0	378	6216192	0	0	0	0.00156645273848838
